Athlete,Discipline,NOC,Gender,Medal
HAJOS  Alfred,Swimming,HUN,Men,Gold
HERSCHMANN  Otto,Swimming,AUT,Men,Silver
DRIVAS  Dimitrios,Swimming,GRE,Men,Bronze
MALOKINIS  Ioannis,Swimming,GRE,Men,Gold
CHASAPIS  Spiridon,Swimming,GRE,Men,Silver
CHOROPHAS  Efstathios,Swimming,GRE,Men,Bronze
HAJOS  Alfred,Swimming,HUN,Men,Gold
ANDREOU  Joannis,Swimming,GRE,Men,Silver
CHOROPHAS  Efstathios,Swimming,GRE,Men,Bronze
NEUMANN  Paul,Swimming,AUT,Men,Gold
PEPANOS  Antonios,Swimming,GRE,Men,Silver
LANE  Francis,Athletics,USA,Men,Bronze
SZOKOLYI  Alajos,Athletics,HUN,Men,Bronze
BURKE  Thomas,Athletics,USA,Men,Gold
HOFMANN  Fritz,Athletics,GER,Men,Silver
CURTIS  Thomas,Athletics,USA,Men,Gold
GOULDING  Grantley,Athletics,GBR,Men,Silver
LERMUSIAUX  Albin,Athletics,FRA,Men,Bronze
FLACK  Edwin,Athletics,AUS,Men,Gold
BLAKE  Arthur,Athletics,USA,Men,Silver
GMELIN  Charles,Athletics,GBR,Men,Bronze
BURKE  Thomas,Athletics,USA,Men,Gold
JAMISON  Herbert,Athletics,USA,Men,Silver
GOLEMIS  Dimitrios,Athletics,GRE,Men,Bronze
FLACK  Edwin,Athletics,AUS,Men,Gold
DANI  Nandor,Athletics,HUN,Men,Silver
VERSIS  Sotirios,Athletics,GRE,Men,Bronze
GARRETT  Robert,Athletics,USA,Men,Gold
PARASKEVOPOULOS  Panagiotis,Athletics,GRE,Men,Silver
CLARK  Ellery,Athletics,USA,Men,Gold
CONNOLLY  James,Athletics,USA,Men,Silver
GARRETT  Robert,Athletics,USA,Men,Silver
CONNOLLY  James,Athletics,USA,Men,Bronze
CLARK  Ellery,Athletics,USA,Men,Gold
GARRETT  Robert,Athletics,USA,Men,Silver
KELLNER  Gyula,Athletics,HUN,Men,Bronze
LOUIS  Spyridon,Athletics,GRE,Men,Gold
VASILAKOS  Kharilaos,Athletics,GRE,Men,Silver
DAMASKOS  Evangelos,Athletics,GRE,Men,Bronze
THEODOROPOULOS  Ioannis,Athletics,GRE,Men,Bronze
HOYT  William Welles,Athletics,USA,Men,Gold
TYLER  Albert,Athletics,USA,Men,Silver
PAPASIDERIS  Georgios,Athletics,GRE,Men,Bronze
GARRETT  Robert,Athletics,USA,Men,Gold
GOUSKOS  Miltiadis,Athletics,GRE,Men,Silver
PERSAKIS  Ioannis,Athletics,GRE,Men,Bronze
CONNOLLY  James,Athletics,USA,Men,Gold
TUFFERI  Alexandre,Athletics,FRA,Men,Silver
BATTEL  Edward,Cycling Road,GBR,Men,Bronze
KONSTANTINIDIS  Aristidis,Cycling Road,GRE,Men,Gold
GOEDRICH  August,Cycling Road,GER,Men,Silver
FLAMENG  Léon,Cycling Track,FRA,Men,Gold
KOLETTIS  Georgios,Cycling Track,GRE,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
FLAMENG  Léon,Cycling Track,FRA,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Gold
KEEPING  Frank,Cycling Track,GBR,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
NIKOLOPOULOS  Stamatios,Cycling Track,GRE,Men,Silver
FLAMENG  Léon,Cycling Track,FRA,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
NIKOLOPOULOS  Stamatios,Cycling Track,GRE,Men,Silver
PIERRAKOS-MAVROMICHALIS  Perikles,Fencing,GRE,Men,Bronze
GRAVELOTTE  Eugène-Henri,Fencing,FRA,Men,Gold
